"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Authentication","Dashboard","Authenticated Access","1","0","0","0","0"
"Authentication","Registration","Password Mismatch","1","0","0","0","0"
"Authentication","Registration","Successful Registration","0","0","1","0","0"
"Authentication","Login","Invalid Password","0","0","1","0","0"
"Setup Verification","Basic Test","Failing Test","0","1","0","0","0"
"Authentication","Registration","Duplicate Username","0","0","0","1","0"
"Authentication","Password Recovery","Forgot Password","0","0","1","0","0"
"User Interface","Home Page","Unauthenticated View","0","0","1","0","0"
"Authentication","Password Recovery","Email Sending","0","0","1","0","0"
"Authentication","Password Recovery","Non-Existent Email","0","0","1","0","0"
"Authentication","Registration","Empty Fields","0","0","1","0","0"
"Authentication","Login","Empty Fields","0","0","1","0","0"
"Authentication","Registration","Duplicate Email","1","0","0","0","0"
"Authentication","Registration","Registration Link","0","0","1","0","0"
"Authentication","Dashboard","Unauthorized Access","0","1","0","0","0"
"","","","0","0","0","1","0"
"User Interface","Home Page","Authenticated View","1","0","0","0","0"
"Setup Verification","Basic Test","Simple Test","0","1","0","0","0"
"Authentication","Login","Valid Credentials","1","0","0","0","0"
